Icon,Title,Description,Link
📦,Sneaker Box Damage Guide,Official guidelines for Sneaker Box Damage,"https://docs.google.com/presentation/d/1kN5hLPf_0PDn-SKpFmx2obHgO048JinKOaRLIWtlBMo/edit?slide=id.gf4aba3aa79_0_0#slide=id.gf4aba3aa79_0_0,https://docs.google.com/document/d/1IcX0jZy6WPIbdWdLtJnjo9dz5Cu9yfzVRuULJIH1VAI/edit?tab=t.0"
📦,Replacement Box Guidelines (All Trades) | SC-BPN-POL-002,Official guidelines for Replacement Box,https://docs.google.com/document/d/1bhP8v4eav-jw-2K0fFPTvI6Y--6TfraVCKr7x47KUVU/edit?tab=t.0
📸,Required Verification Notes & Photos (All Trades) | SC-VER-POL-002,Official guidelines for required Verification Notes & Photos,https://docs.google.com/document/d/1rXdqPZ7i6HtBWSDh5ARuw8fDXmElP8BDQMGm2ASpCCA/edit?tab=t.0#heading=h.9aum4uyt4rx0
🏷️,Verification Tagging Policy (All Trades) | SC-VER-POL-001,Official guidelines for required Verification Notes & Photos,https://docs.google.com/document/d/1JIPPzFmmbaL3sFsEQ9IspoCWkBh4DJI5FsoiC9flpGQ/edit?tab=t.0
🛒,Products Resold On StockX / No Fee Resale (All Trades) | SC-VQA-POL-003,Official guidelines for utilizing Products Resold On StockX / No Fee Resale,https://docs.google.com/document/d/1Lqclz89pNSf8yN80Zi9t0CMWpYU9eeeBPZv2j_SBOGY/edit?tab=t.0
ᯤ,RFID Guidelines (All Trades) | SC-BPN-POL-003,Official guidelines for RFID Guidelines,https://docs.google.com/document/d/1KJoDyUXuSqDIg9LgnN0YzkRlGAvuIy4fdTcUxPFEQgw/edit?tab=t.0
⚔️,Third Party Competitors | SC-BP-POL-005,Official guidelines for Third Party Competitors,https://docs.google.com/document/d/1LVBDTM_aw1ILYB-W56WhcDgBXg-KaCaUIYDoVrPsn1k/edit?tab=t.0
❌,Visual Inspection Failure / Suspected Inauthentic (All Trades) | SC-VQA-POL-004,Official guidelines for Visual Inspection Failure / Suspected Inauthentic,https://docs.google.com/document/d/1vwP1F6v-TFJYl7KzeerXnMqrNQrP0xOSu1GIzGTju24/edit?tab=t.0
👕,Fear Of God Essentials Verification Policy (All Trades) | SC-BPN-POL-007,Official guidelines for Fear Of God Essentials Verification,https://docs.google.com/document/d/1e6oP_ZMfSNbeL4y2d8j5IXi41v1aRQ203DWump_Pmr0/edit?tab=t.0#heading=h.egmi2zr42d6m
🔍,Utilizing Certilogo QR Code Technology (All Trades) | SC-BP-SOP-005,Official guidelines for utilizing Certilogo QR Code Technology,https://docs.google.com/document/d/1ycWRumSq1N9MSWu1L4KHjiQ1dZaOtCgqR75AxVMyNmM/edit?tab=t.0
